hand 0: type: HIGHCARD, hand: KQJ53, bid: 367
hand 929: type: FOUROFAKIND, hand: 777T7, bid: 136
hand 930: type: FOUROFAKIND, hand: TTTTQ, bid: 384
hand 931: type: FOUROFAKIND, hand: J4444, bid: 444
hand 932: type: FOUROFAKIND, hand: Q6666, bid: 372
hand 933: type: FOUROFAKIND, hand: JJ8JJ, bid: 359
hand 934: type: FOUROFAKIND, hand: 2Q222, bid: 104
hand 935: type: FOUROFAKIND, hand: Q8888, bid: 274
hand 936: type: FOUROFAKIND, hand: QQQJQ, bid: 831
hand 937: type: FOUROFAKIND, hand: K9999, bid: 112
hand 938: type: FOUROFAKIND, hand: Q6QQQ, bid: 133
hand 939: type: FOUROFAKIND, hand: 99969, bid: 163
hand 940: type: FOUROFAKIND, hand: 7777K, bid: 254
hand 941: type: FOUROFAKIND, hand: AQAAA, bid: 824
hand 942: type: FOUROFAKIND, hand: KK8KK, bid: 572
hand 943: type: FOUROFAKIND, hand: AAAA3, bid: 145
hand 944: type: FOUROFAKIND, hand: 99959, bid: 146
hand 945: type: FOUROFAKIND, hand: J9999, bid: 400
hand 946: type: FOUROFAKIND, hand: 222K2, bid: 3
hand 947: type: FOUROFAKIND, hand: 23333, bid: 475
hand 948: type: FOUROFAKIND, hand: 2TTTT, bid: 265
hand 949: type: FOUROFAKIND, hand: 44442, bid: 566
hand 950: type: FOUROFAKIND, hand: 5A555, bid: 439
hand 951: type: FOUROFAKIND, hand: 22228, bid: 492
hand 952: type: FOUROFAKIND, hand: AA5AA, bid: 565
hand 953: type: FOUROFAKIND, hand: 66626, bid: 900
hand 954: type: FOUROFAKIND, hand: 77757, bid: 415
hand 955: type: FOUROFAKIND, hand: J6666, bid: 239
hand 956: type: FOUROFAKIND, hand: 66668, bid: 919
hand 957: type: FOUROFAKIND, hand: 55585, bid: 936
hand 958: type: FOUROFAKIND, hand: K7KKK, bid: 906
hand 959: type: FOUROFAKIND, hand: 58888, bid: 875
hand 960: type: FOUROFAKIND, hand: 78777, bid: 719
hand 961: type: FOUROFAKIND, hand: 78888, bid: 290
hand 962: type: FOUROFAKIND, hand: 88884, bid: 385
hand 963: type: FOUROFAKIND, hand: 888J8, bid: 101
hand 964: type: FOUROFAKIND, hand: 6666A, bid: 476
hand 965: type: FOUROFAKIND, hand: 22922, bid: 755
hand 966: type: FOUROFAKIND, hand: 6T666, bid: 9
hand 967: type: FOUROFAKIND, hand: QKKKK, bid: 747
hand 968: type: FOUROFAKIND, hand: QAQQQ, bid: 556
hand 969: type: FOUROFAKIND, hand: 2AAAA, bid: 19
hand 970: type: FOUROFAKIND, hand: 42222, bid: 722
hand 971: type: FOUROFAKIND, hand: 444K4, bid: 962
hand 972: type: FOUROFAKIND, hand: 62222, bid: 188
hand 973: type: FOUROFAKIND, hand: 88388, bid: 782
hand 974: type: FOUROFAKIND, hand: 37777, bid: 159
hand 975: type: FOUROFAKIND, hand: 7777A, bid: 135
hand 976: type: FOUROFAKIND, hand: K8888, bid: 7
hand 977: type: FOUROFAKIND, hand: QQ2QQ, bid: 844
hand 978: type: FOUROFAKIND, hand: 63333, bid: 231
hand 979: type: FOUROFAKIND, hand: 93333, bid: 408
hand 980: type: FOUROFAKIND, hand: T4444, bid: 595
hand 981: type: FOUROFAKIND, hand: TT7TT, bid: 110
hand 982: type: FOUROFAKIND, hand: KKTKK, bid: 166
hand 983: type: FOUROFAKIND, hand: Q5QQQ, bid: 585
hand 984: type: FOUROFAKIND, hand: KK3KK, bid: 577
hand 985: type: FOUROFAKIND, hand: 22522, bid: 249
hand 986: type: FOUROFAKIND, hand: 72777, bid: 519
hand 987: type: FOUROFAKIND, hand: 7777J, bid: 404
hand 988: type: FOUROFAKIND, hand: T8888, bid: 608
hand 989: type: FOUROFAKIND, hand: 44944, bid: 660
hand 990: type: FOUROFAKIND, hand: 55955, bid: 422
hand 991: type: FOUROFAKIND, hand: 97999, bid: 604
hand 992: type: FOUROFAKIND, hand: 55J55, bid: 141
hand 993: type: FOUROFAKIND, hand: AAAAJ, bid: 594
hand 994: type: FOUROFAKIND, hand: QQQ8Q, bid: 711
hand 995: type: FOUROFAKIND, hand: KKKJK, bid: 183
hand 996: type: FOUROFAKIND, hand: AAATA, bid: 704
hand 997: type: FOUROFAKIND, hand: KAAAA, bid: 731
hand 998: type: FOUROFAKIND, hand: AKKKK, bid: 70
hand 999: type: FIVEOFAKIND, hand: JJJJJ, bid: 219
Sum is: 246968303
